epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
173,3156.03,0.72971,0.52697,0.81292,0.12424,1,0.19194,0.09882,1.73266,4.25347,0.92204,0.000720811,0.000720811,0.000720811
174,3170.45,0.76648,0.52149,0.85028,0.13125,1,0.21937,0.12781,1.78822,4.19054,0.9268,0.00071531,0.00071531,0.00071531
175,3185.23,0.77479,0.52443,0.85599,0.125,0.875,0.23474,0.14815,1.82105,4.16547,0.93219,0.000709809,0.000709809,0.000709809
176,3200.24,0.65235,0.48601,0.79488,0.13125,0.875,0.23178,0.14231,1.84147,4.13384,0.93449,0.000704307,0.000704307,0.000704307
177,3214.69,0.72485,0.48039,0.84967,0.14881,0.875,0.27773,0.17551,1.84076,4.0607,0.93615,0.000698806,0.000698806,0.000698806
178,5183.51,0.7121,0.48423,0.79103,0.175,1,0.30226,0.17213,1.84777,4.05434,0.94172,0.000693305,0.000693305,0.000693305
179,5197.31,0.62283,0.48308,0.82001,0.16667,0.5,0.26857,0.14954,1.8155,4.07027,0.93893,0.000687804,0.000687804,0.000687804
180,5211.29,0.63633,0.49162,0.82534,0.16667,0.5,0.26857,0.14954,1.83889,4.22571,0.93899,0.000682303,0.000682303,0.000682303
181,5224.74,0.6733,0.44639,0.79509,0.15385,0.5,0.26403,0.14743,1.89373,4.31139,0.94717,0.000676802,0.000676802,0.000676802
182,5234.16,0.71712,0.57877,0.85547,0.16667,0.5,0.26857,0.14954,1.93887,4.25603,0.95406,0.000671301,0.000671301,0.000671301
183,5243.39,0.74035,0.51349,0.83393,0.15385,0.5,0.26403,0.14743,1.98372,4.20615,0.96086,0.0006658,0.0006658,0.0006658
184,5252.88,0.64319,0.46682,0.82761,0.15385,0.5,0.25354,0.1241,1.95607,4.14128,0.95341,0.000660299,0.000660299,0.000660299
185,5263.9,0.71641,0.4812,0.78032,0.24892,0.25,0.26403,0.12886,1.92271,4.1462,0.94588,0.000654798,0.000654798,0.000654798
186,5275,0.67066,0.51147,0.83714,0.14286,0.5,0.21899,0.10672,1.919,4.22886,0.94344,0.000649297,0.000649297,0.000649297
187,5286.46,0.73472,0.49452,0.8386,0.14286,0.5,0.21385,0.10377,1.92674,4.28356,0.94429,0.000643795,0.000643795,0.000643795
188,5297.92,0.69749,0.4914,0.83192,0.16667,0.5,0.22792,0.10963,1.93574,4.25276,0.93978,0.000638294,0.000638294,0.000638294
189,5309.34,0.76942,0.50933,0.85722,0.2,0.5,0.23486,0.11363,1.92545,4.15549,0.93727,0.000632793,0.000632793,0.000632793
190,5318.59,0.66786,0.51479,0.85239,0.2,0.5,0.28306,0.14716,1.90196,4.05101,0.93398,0.000627292,0.000627292,0.000627292
191,5327.7,0.66168,0.4912,0.83349,0.2,0.5,0.28306,0.13826,1.89634,3.967,0.93382,0.000621791,0.000621791,0.000621791
192,5337.22,0.79351,0.53316,0.84781,0.2,0.5,0.28306,0.1403,1.88822,3.94964,0.93554,0.00061629,0.00061629,0.00061629
193,5348.34,0.74659,0.47745,0.84806,0.19961,0.4186,0.28306,0.13977,1.85532,4.01318,0.94124,0.000610789,0.000610789,0.000610789
194,5359.69,0.56985,0.44544,0.83825,0.2,0.5,0.28306,0.13465,1.79147,4.38025,0.93655,0.000605288,0.000605288,0.000605288
195,5369.66,0.7085,0.48434,0.86028,0.18182,0.5,0.23625,0.11566,1.70457,4.6083,0.92635,0.000599787,0.000599787,0.000599787
196,5380.77,0.72862,0.45928,0.8322,0.23571,1,0.27179,0.13757,1.66021,4.6783,0.92029,0.000594286,0.000594286,0.000594286
197,5392.15,0.72305,0.51883,0.85416,0.20238,0.875,0.24938,0.14531,1.65742,4.67571,0.91284,0.000588784,0.000588784,0.000588784
198,5403.14,0.65141,0.47282,0.8181,0.22596,0.875,0.25585,0.15976,1.69272,4.66985,0.90973,0.000583283,0.000583283,0.000583283
199,5412.68,0.64725,0.45563,0.82808,0.25,0.875,0.28963,0.16019,1.74689,4.59097,0.91865,0.000577782,0.000577782,0.000577782
200,5422.18,0.68101,0.47469,0.84263,0.25275,0.875,0.29282,0.16788,1.75777,4.53669,0.92388,0.000572281,0.000572281,0.000572281
201,5431.78,0.71482,0.48451,0.87331,0.25275,0.875,0.30932,0.16576,1.75958,4.54473,0.92613,0.00056678,0.00056678,0.00056678
202,5441.31,0.69856,0.45742,0.85767,0.25,0.5,0.3025,0.14979,1.82227,4.33768,0.93985,0.000561279,0.000561279,0.000561279
203,5450.81,0.62544,0.46244,0.81399,0.2,0.5,0.3025,0.166,1.83948,4.18343,0.9538,0.000555778,0.000555778,0.000555778
204,5460.34,0.72114,0.44485,0.82445,0.21753,1,0.32255,0.17177,1.77391,4.03141,0.94823,0.000550277,0.000550277,0.000550277
205,5469.84,0.72288,0.46039,0.83412,0.20238,1,0.35225,0.20742,1.71401,3.92331,0.93468,0.000544776,0.000544776,0.000544776
206,5479.23,0.64451,0.44083,0.80387,0.18132,1,0.35083,0.21206,1.71851,3.93885,0.92811,0.000539275,0.000539275,0.000539275
207,5488.65,0.61105,0.45222,0.80036,0.18132,1,0.35083,0.20292,1.79018,4.02985,0.93146,0.000533773,0.000533773,0.000533773
