epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1318.34,1.39026,1.40566,0.98562,0.22941,0.11471,0.13426,0.06261,2.02948,4.93769,1.11666,0.00143595,0.00143595,0.00143595
44,1331.61,1.01281,3.32733,0.71894,0.23439,0.1172,0.10514,0.05029,2.12631,4.93197,1.0844,0.00143045,0.00143045,0.00143045
45,1344.82,1.20708,1.33036,0.9806,0.24088,0.12044,0.12625,0.0416,2.10555,4.71738,1.05291,0.00142495,0.00142495,0.00142495
46,1358.43,1.25497,1.20526,0.96225,0.26008,0.14012,0.17041,0.08503,1.978,4.54217,1.02825,0.00141945,0.00141945,0.00141945
47,1371.8,1.19349,1.26122,0.93628,0.2351,0.11755,0.11168,0.05584,1.93154,4.72632,1.11963,0.00141395,0.00141395,0.00141395
48,1385.63,1.27153,1.13391,0.95935,0.00136,0.625,0.09311,0.04656,1.79852,4.88771,1.19594,0.00140845,0.00140845,0.00140845
49,1399.28,1.2448,1.2369,0.90022,0.2178,0.1089,0.11682,0.05841,1.68307,4.69099,1.11864,0.00140295,0.00140295,0.00140295
50,1412.67,1.20928,1.15232,1.00438,0.23434,0.11717,0.16141,0.07947,1.65698,4.49945,1.03067,0.00139745,0.00139745,0.00139745
51,1426.55,1.2819,1.29936,0.93163,0.23414,0.11707,0.1393,0.07145,1.67143,4.30144,1.02884,0.00139195,0.00139195,0.00139195
52,1440.98,1.25556,1.12502,0.96366,0.00213,0.75,0.12223,0.06281,1.65446,4.35365,1.04869,0.00138644,0.00138644,0.00138644
53,1455.69,1.16899,1.15008,0.91933,0.00212,0.75,0.12292,0.06047,1.82635,4.44075,1.07227,0.00138094,0.00138094,0.00138094
54,1470,1.04492,1.05785,0.88917,0.1149,0.08617,0.12614,0.0601,1.82298,4.26473,1.04214,0.00137544,0.00137544,0.00137544
55,1484.47,1.14802,1.03812,0.92565,0.1643,0.125,0.1677,0.08997,1.81969,4.01282,1.01665,0.00136994,0.00136994,0.00136994
56,1499.4,1.1922,1.08752,0.92285,0.22098,0.20647,0.25392,0.14863,1.77993,3.73314,1.00107,0.00136444,0.00136444,0.00136444
57,1513.55,1.102,0.97076,0.91444,0.19762,0.17143,0.25641,0.14037,1.98632,4.04901,1.01182,0.00135894,0.00135894,0.00135894
58,1527.46,1.27868,1.14092,0.99654,0.0035,1,0.26927,0.10411,2.25614,4.27657,1.01038,0.00135344,0.00135344,0.00135344
59,1541.33,1.13079,1.02792,0.9008,0.00363,1,0.15926,0.05844,2.34552,4.61295,1.01759,0.00134794,0.00134794,0.00134794
60,1555.17,1.35457,1.04537,0.90178,0.00306,0.875,0.09031,0.04318,2.28449,4.98336,1.01337,0.00134244,0.00134244,0.00134244
61,1569.08,1.02563,0.91496,0.88122,0.05035,0.5,0.0841,0.04752,2.29411,5.10758,1.04514,0.00133693,0.00133693,0.00133693
62,1583.06,1.00434,0.88539,0.87134,0.05076,0.5,0.08964,0.04818,2.17549,5.24264,1.03646,0.00133143,0.00133143,0.00133143
63,1596.61,1.09376,0.9668,0.91224,0.00291,0.875,0.11153,0.04483,2.34448,5.03807,1.10531,0.00132593,0.00132593,0.00132593
64,1610.28,0.9754,0.91256,0.87632,0.06059,0.875,0.11703,0.03823,2.3585,4.92816,1.08955,0.00132043,0.00132043,0.00132043
65,1624.64,1.09879,0.96581,0.91807,0.08437,0.125,0.16712,0.07252,2.18602,4.56146,1.02662,0.00131493,0.00131493,0.00131493
66,1638.55,1.04045,0.88016,0.90406,0.15292,0.25,0.18516,0.08494,2.12301,4.10256,1.02183,0.00130943,0.00130943,0.00130943
67,1652.37,0.98261,0.90379,0.91555,0.00295,0.875,0.15515,0.08999,1.82234,4.11875,1.00392,0.00130393,0.00130393,0.00130393
68,1666.15,1.05057,0.8754,0.8707,0.00306,0.875,0.13539,0.08777,1.83093,4.36534,1.02437,0.00129843,0.00129843,0.00129843
69,1680.51,0.96331,0.83943,0.87842,0.00314,0.875,0.13414,0.0876,1.74523,4.52209,1.01383,0.00129293,0.00129293,0.00129293
70,1694.5,0.98919,0.85221,0.90258,0.1405,0.10537,0.13593,0.08817,1.7407,4.49766,0.98671,0.00128742,0.00128742,0.00128742
71,1708.33,1.00484,0.82886,0.88588,0.00295,0.875,0.16954,0.10419,1.62407,4.42266,0.95064,0.00128192,0.00128192,0.00128192
72,1722.88,1.00879,0.87879,0.89243,0.22873,0.11436,0.1614,0.10678,1.59158,4.37101,0.96126,0.00127642,0.00127642,0.00127642
73,1737.25,0.95708,0.84752,0.87792,0.22506,0.11253,0.22072,0.12412,1.73459,4.32785,0.97781,0.00127092,0.00127092,0.00127092
74,1751.09,1.02884,0.81517,0.90103,0.23306,0.11653,0.26202,0.14786,1.92751,4.32807,0.99178,0.00126542,0.00126542,0.00126542
75,1765.44,1.03112,0.81111,0.85578,0.23393,0.11697,0.29027,0.14592,1.90135,4.35553,1.00287,0.00125992,0.00125992,0.00125992
76,1779.93,0.89958,0.80414,0.89051,0.22856,0.11428,0.32991,0.17743,1.82784,4.28698,0.99746,0.00125442,0.00125442,0.00125442
77,1793.8,1.09731,0.84929,0.91612,0.22765,0.11382,0.32605,0.17559,1.89259,4.38889,1.00177,0.00124892,0.00124892,0.00124892
78,1808.14,1.07759,0.83897,0.8912,0.23104,0.11552,0.2246,0.09913,2.06662,4.63676,1.03002,0.00124342,0.00124342,0.00124342
79,1822.07,1.05609,0.88717,0.8866,0.02726,0.875,0.19728,0.07517,2.07326,4.76622,1.03652,0.00123791,0.00123791,0.00123791
80,1835.7,0.95891,0.75646,0.8295,0.02415,0.875,0.19525,0.09432,2.03418,4.8643,1.02715,0.00123241,0.00123241,0.00123241
81,1849.27,0.96127,0.8292,0.86168,0.23712,0.11856,0.1404,0.0747,1.9374,4.83414,0.9907,0.00122691,0.00122691,0.00122691
82,1864.01,1.06763,0.87292,0.90185,0.24049,0.12025,0.12413,0.05487,2.0202,4.91758,0.98668,0.00122141,0.00122141,0.00122141
83,1877.87,1.01151,0.81512,0.84587,0.24599,0.12299,0.11635,0.04448,2.35143,5.0819,1.04384,0.00121591,0.00121591,0.00121591
84,1892.17,1.10479,0.82117,0.88787,0.24373,0.125,0.11676,0.04247,2.36972,5.01505,1.05134,0.00121041,0.00121041,0.00121041
